id,parent,depth,ce_sort,ce_start,ce_end,ah,place,marker,cert_date,cert_event,source_tradition,notes
E3.4,E3,2,,0630-00-00,0632-00-00,9–11 AH,Arabia,Consolidation + final pilgrimage + last months,B,A,Core sira,Bucket marker.
E3.1.1,E3.1,3,0622-09-00,0622-00-00,0622-12-00,1 AH,Medina,Arrival/settlement in Medina (window),B,A,Core sira,Use for hadith tied to early Madinan settlement.
E3.1.2,E3.1,3,0622-00-00,0622-00-00,0623-00-00,1 AH,Medina,Constitution/Charter of Medina (soon after Hijrah) (window),B,A,Early historiography,Dating debated; keep as early-1 AH window.
E3.1.3,E3.1,3,0622-00-00,0622-00-00,0623-00-00,1 AH,Medina,Institution of adhan (early after Hijrah) (window),B,A,Hadith + sira,Often placed early Madinan period.
E3.1.4,E3.1,3,0623-00-00,0623-00-00,0624-00-00,1–2 AH,Hejaz,Early patrols/raids phase (pre-Badr) (window),C,A,Sira,Use for hadith describing early expeditions without naming Badr.
E3.1.5,E3.1,3,0624-00-00,0624-00-00,0624-12-00,2 AH,Medina,Change of qiblah to Mecca (2 AH) (window),B,A,Hadith + sira,Year-level stable; exact CE day varies.
E3.1.6,E3.1,3,0624-00-00,0624-00-00,0624-12-00,2 AH,Medina,Ramadan fasting becomes obligatory (2 AH) (window),B,A,Fiqh + sira,Year-level stable; exact day varies.
E3.2.1,E3.2,3,0624-03-13,0624-03-13,0624-03-13,17 Ramadan 2 AH (commonly),Badr,Battle of Badr,B,A,Sira + modern chronologies,CE conversion may vary by a day in some methods.
E3.2.2,E3.2,3,0625-03-23,0625-03-23,0625-03-23,7 Shawwal 3 AH (commonly),Uhud (near Medina),Battle of Uhud,B,A,Sira + modern chronologies,CE conversion may vary slightly.
E3.2.3,E3.2,3,0625-00-00,0625-00-00,0626-12-00,4 AH,Hejaz/Medina,"4 AH incidents cluster (e.g., al-Raji', Bi'r Ma'una; Banu Nadir often placed here) (window)",C,B,Sira/historiography,Chronology varies; keep as cluster-window marker.
E3.2.4,E3.2,3,0627-03-31,0627-03-31,0627-04-14,5 AH,Medina,Battle of the Trench (al-Khandaq / al-Ahzab) (window),B,A,Sira + modern chronologies,Often given as late Mar–early Apr 627 CE.
E3.2.5,E3.2,3,0627-04-00,0627-04-00,0627-05-00,5 AH,Medina,Banu Qurayzah episode (post-Khandaq) (window),C,A,Sira/historiography,Placed after Khandaq; exact dates vary.
E3.3.1,E3.3,3,0628-03-00,0628-03-00,0628-03-31,Dhu al-Qadah 6 AH (commonly),Hudaybiyyah,Treaty of Hudaybiyyah (month window),B,A,Sira,Month-level stable; CE day varies.
E3.3.2,E3.3,3,0628-00-00,0628-00-00,0629-12-00,6–7 AH,Arabia/region,Letters/invitations to rulers (post-Hudaybiyyah) (window),C,B,Historiography,Dating varies across sources.
E3.3.3,E3.3,3,0628-03-00,0628-03-00,0628-05-00,7 AH,Khaybar,Khaybar campaign (window),B,A,Sira,Often 7 AH / 628 CE; month varies.
E3.3.4,E3.3,3,0629-00-00,0629-00-00,0629-12-00,7 AH,Mecca,Umrah al-Qada (fulfillment pilgrimage) (window),C,B,Sira,Commonly placed in 7 AH; details vary.
E3.3.5,E3.3,3,0629-09-00,0629-09-00,0629-09-30,Jumada I 8 AH (commonly),Mutah,Battle of Mutah (month window),B,A,Sira,Month-level varies by conversion.
E3.3.6,E3.3,3,0629-12-00,0629-12-00,0630-01-31,Ramadan 8 AH,Mecca,Conquest of Mecca (window),B,A,Sira + modern chronologies,Exact day disputed; keep as window.
E3.3.7,E3.3,3,0630-00-00,0630-00-00,0630-12-00,8 AH,Hunayn,Battle of Hunayn (8 AH) (window),B,A,Sira,Occurs soon after Conquest.
E3.3.8,E3.3,3,0630-00-00,0630-00-00,0630-12-00,8 AH,Taif,Siege/engagements at Taif (post-Hunayn) (window),B,B,Sira,Window marker.
E3.4.1,E3.4,3,0630-10-00,0630-10-00,0630-10-31,Rajab 9 AH (commonly),Tabuk,Expedition of Tabuk (month window),B,A,Sira,Month-level stable; CE conversion varies.
E3.4.2,E3.4,3,0631-00-00,0630-00-00,0631-12-00,9 AH (peak),Medina,Year of Delegations (Aam al-Wufud) (window),C,B,Historiography,Label/boundaries vary.
E3.4.3,E3.4,3,0632-00-00,0632-00-00,0632-12-00,10 AH,Arafat/Mecca,Farewell Hajj + Farewell Sermon cluster (window),B,A,Hadith + sira,Specific day within Hajj known in AH; CE conversion varies.
E3.4.4,E3.4,3,0632-00-00,0632-00-00,0632-12-00,10 AH,Mecca,Farewell Pilgrimage (Hajj) (window),B,A,Sira,Often treated as 10 AH / 632 CE.
E3.4.5,E3.4,3,0632-00-00,0632-01-00,0632-06-00,11 AH,Medina,Final illness period (window),B,A,Hadith + sira,Length and start date vary across reports.
E3.4.6,E3.4,3,0632-06-08,0632-06-08,0632-06-08,12 Rabi al-Awwal 11 AH (often reported),Medina,Death,B,A,Core tradition + modern references,Hijri day disputed between traditions; CE date widely used in references.
